game_id	game_date	game_serie_id	game_number	game_id_team_home	game_id_team_away	game_name_team_home	game_name_team_away	game_name_pitcher_home	game_name_pitcher_away	game_pitcher_home_ERA	game_pitcher_away_ERA
40	2017-08-27 14:10:00.000	1	20	20	20	Detroit Tigers	Chicago White Sox	M. Boyd (L)	L. Giolito (R)	6.07999992370605	6
41	2017-08-27 14:15:00.000	1	20	20	20	Tampa Bay Rays	St. Louis Cardinals	C. Archer (R)	L. Lynn (R)	4.26000022888184	2.90000009536743
42	2017-08-27 15:37:00.000	1	20	20	20	Houston Astros	Los Angeles Angels	C. Morton (R)	R. Nolasco (R)	4.19000005722046	4.90000009536743
43	2017-08-27 16:05:00.000	1	20	20	20	Texas Rangers	Oakland Athletics	A. Griffin (R)	J. Cotton (R)	4.75	7.71000003814697
44	2017-08-27 16:10:00.000	1	20	20	20	Milwaukee Brewers	Los Angeles Dodgers	J. Nelson (R)	Y. Darvish (R)	4.30000019073486	4.5
45	2017-08-27 16:10:00.000	1	20	20	20	San Francisco Giants	Arizona Diamondbacks	C. Stratton (R)	P. Corbin (L)	2.75999999046326	2.86999988555908
46	2017-08-27 20:00:00.000	1	20	20	20	New York Mets	Washington Nationals	S. Lugo (R)	E. Fedde (R)	5.65000009536743	15.75
47	2017-08-28 19:00:00.000	1	20	20	20	Cleveland Indians	New York Yankees	C. Kluber (R)	L. Severino (R)	3.50999999046326	4.1399998664856
48	2017-08-28 19:05:00.000	1	20	20	20	Seattle Mariners	Baltimore Orioles	M. Gonzales (L)	W. Miley (L)	7.26999998092651	4.75
49	2017-08-28 19:05:00.000	1	20	20	20	Miami Marlins	Washington Nationals	J. Urena (R)	E. Jackson (R)	4.05000019073486	2.5
50	2017-08-28 19:05:00.000	1	20	20	20	Atlanta Braves	Philadelphia Phillies	L. Sims (R)	N. Pivetta (R)	5.23000001907349	5.65000009536743
51	2017-08-28 19:07:00.000	1	20	20	20	Boston Red Sox	Toronto Blue Jays	D. Pomeranz (L)	M. Stroman (R)	3.08999991416931	2.63000011444092
52	2017-08-28 20:05:00.000	1	20	20	20	Pittsburgh Pirates	Chicago Cubs	T. Williams (R)	M. Montgomery (L)	4.84999990463257	3.6800000667572
53	2017-08-28 20:15:00.000	1	20	20	20	Tampa Bay Rays	Kansas City Royals	A. Pruitt (R)	I. Kennedy (R)	5.65000009536743	5.96999979019165
54	2017-08-28 20:40:00.000	1	20	20	20	Detroit Tigers	Colorado Rockies	J. Zimmermann (R)	A. Senzatela (R)	5.75	4.67000007629395
55	2017-08-28 22:07:00.000	1	20	20	20	Oakland Athletics	Los Angeles Angels	C. Smith (R)	A. Heaney (L)	6.19999980926514	7.19999980926514
56	2017-08-28 22:10:00.000	1	20	20	20	San Francisco Giants	San Diego Padres	J. Samardzija (R)	J. Chacin (R)	5.05000019073486	1.86000001430511
57	2017-08-29 19:05:00.000	1	20	20	20	Seattle Mariners	Baltimore Orioles	E. Ramirez (R)	U. Jimenez (R)	5.8899998664856	6.82999992370605
58	2017-08-29 19:05:00.000	1	20	20	20	Cleveland Indians	New York Yankees	T. Bauer (R)	J. Garcia (L)	5.5	4.76000022888184
59	2017-08-29 19:05:00.000	1	20	20	20	Miami Marlins	Washington Nationals	J. Nicolino (L)	S. Strasburg (R)	9.52999973297119	4.13000011444092
60	2017-08-29 19:05:00.000	1	20	20	20	Atlanta Braves	Philadelphia Phillies	R. Dickey (R)	M. Leiter Jr. (R)	4.59000015258789	1.33000004291534
61	2017-08-29 19:07:00.000	1	20	20	20	Boston Red Sox	Toronto Blue Jays	C. Sale (L)	T. Koehler (R)	2.29999995231628	0
62	2017-08-29 19:10:00.000	1	20	20	20	New York Mets	Cincinnati Reds	C. Flexen (R)	A. Wojciechowski (R)	8.18000030517578	4.84000015258789
63	2017-08-29 19:40:00.000	1	20	20	20	St. Louis Cardinals	Milwaukee Brewers	A. Wainwright (R)	M. Garza (R)	7.42000007629395	3.6800000667572
64	2017-08-29 20:05:00.000	1	20	20	20	Pittsburgh Pirates	Chicago Cubs	C. Kuhl (R)	J. Arrieta (R)	4.15999984741211	3.23000001907349
65	2017-08-29 20:10:00.000	1	20	20	20	Chicago White Sox	Minnesota Twins	J. Shields (R)	E. Santana (R)	5.30000019073486	4.03999996185303
66	2017-08-29 20:10:00.000	1	20	20	20	Texas Rangers	Houston Astros	A. Cashner (R)	M. Fiers (R)	4.5	3.45000004768372
67	2017-08-29 20:15:00.000	1	20	20	20	Tampa Bay Rays	Kansas City Royals	A. Cobb (R)	J. Junis (R)	4.94000005722046	4.6399998664856
68	2017-08-29 20:40:00.000	1	20	20	20	Detroit Tigers	Colorado Rockies	M. Fulmer (R)	G. Marquez (R)	3.88000011444092	4.5
69	2017-08-29 21:40:00.000	1	20	20	20	Los Angeles Dodgers	Arizona Diamondbacks	R. Hill (L)	Z. Godley (R)	3.49000000953674	3.22000002861023
70	2017-08-29 22:07:00.000	1	20	20	20	Oakland Athletics	Los Angeles Angels	P. Blackburn (R)	T. Scribner (R)	1.47000002861023	2.70000004768372
71	2017-08-29 22:10:00.000	1	20	20	20	San Francisco Giants	San Diego Padres	M. Moore (L)	L. Perdomo (R)	6.71000003814697	5.09000015258789
72	2017-08-30 13:05:00.000	1	20	20	20	Cleveland Indians	New York Yankees	R. Merritt (L)	C. Sabathia (L)	3.51999998092651	5.67999982833862
73	2017-08-30 13:05:00.000	1	20	20	20	Atlanta Braves	Philadelphia Phillies	J. Teheran (R)	J. Eickhoff (R)	3.24000000953674	3.82999992370605
74	2017-08-30 14:10:00.000	1	20	20	20	St. Louis Cardinals	Milwaukee Brewers	C. Martinez (R)	C. Anderson (R)	3.77999997138977	2.15000009536743
75	2017-08-30 15:05:00.000	1	20	20	20	Seattle Mariners	Baltimore Orioles	A. Miranda (L)	D. Bundy (R)	6.19000005722046	3.86999988555908
76	2017-08-30 15:10:00.000	1	20	20	20	Detroit Tigers	Colorado Rockies	J. Verlander (R)	C. Bettis (R)	5.23999977111816	1.92999994754791
77	2017-08-30 16:05:00.000	1	20	20	20	Miami Marlins	Washington Nationals	V. Worley (R)	M. Scherzer (R)	4.03000020980835	2.76999998092651
78	2017-08-30 19:07:00.000	1	20	20	20	Boston Red Sox	Toronto Blue Jays	R. Porcello (R)	J. Happ (L)	3.96000003814697	3.58999991416931
79	2017-08-30 19:10:00.000	1	20	20	20	New York Mets	Cincinnati Reds	R. Montero (R)	S. Romano (R)	4.80000019073486	6.63000011444092
80	2017-08-30 20:00:00.000	1	20	20	20	Texas Rangers	Houston Astros	M. Perez (L)	D. Keuchel (L)	4.88000011444092	1.35000002384186
81	2017-08-30 20:05:00.000	1	20	20	20	Pittsburgh Pirates	Chicago Cubs	I. Nova (R)	J. Quintana (L)	4.51999998092651	4.90999984741211
82	2017-08-30 20:10:00.000	1	20	20	20	Chicago White Sox	Minnesota Twins	D. Holland (L)	J. Berrios (R)	7.01999998092651	2.86999988555908
83	2017-08-30 20:15:00.000	1	20	20	20	Tampa Bay Rays	Kansas City Royals	J. Odorizzi (R)	J. Vargas (L)	4.03999996185303	3.5699999332428
84	2017-08-30 21:10:00.000	1	20	20	20	San Francisco Giants	San Diego Padres	T. Blach (L)	T. Wood (L)	5.5	2
85	2017-08-30 21:40:00.000	1	20	20	20	Los Angeles Dodgers	Arizona Diamondbacks	H. Ryu (L)	R. Ray (L)	3.19000005722046	4.86999988555908
86	2017-08-30 22:07:00.000	1	20	20	20	Oakland Athletics	Los Angeles Angels	D. Gossett (R)	P. Bridwell (R)	5.40000009536743	3.73000001907349
